User_ID (FK),Type_user,MainCluster_ID,MainCluster_Description
40834,free,1,Hibernating
40854,free,1,Hibernating
40876,free,1,Hibernating
40883,free,1,Hibernating
40891,free,1,Hibernating
40898,free,1,Hibernating
40907,free,1,Hibernating
40915,free,1,Hibernating
40925,free,1,Hibernating
40933,free,1,Hibernating
40937,free,1,Hibernating
40939,free,1,Hibernating
40942,free,1,Hibernating
40963,free,1,Hibernating
40975,free,1,Hibernating
40978,free,1,Hibernating
40985,free,1,Hibernating
41043,free,1,Hibernating
41055,free,1,Hibernating
41056,free,1,Hibernating
41058,free,1,Hibernating
41070,free,1,Hibernating
41112,free,1,Hibernating
41119,free,1,Hibernating
41145,free,1,Hibernating
41151,free,1,Hibernating
41166,free,1,Hibernating
41169,free,1,Hibernating
41171,free,1,Hibernating
41172,free,1,Hibernating
41185,free,1,Hibernating
41189,free,1,Hibernating
41193,free,1,Hibernating
41206,free,1,Hibernating
41210,free,1,Hibernating
41218,free,1,Hibernating
41229,free,1,Hibernating
41244,free,1,Hibernating
41261,free,1,Hibernating
41263,free,1,Hibernating
41266,free,1,Hibernating
41282,free,1,Hibernating
41306,free,1,Hibernating
41307,free,1,Hibernating
41341,free,1,Hibernating
41369,free,1,Hibernating
41391,free,1,Hibernating
41393,free,1,Hibernating
41402,free,1,Hibernating
41406,free,1,Hibernating
41414,free,1,Hibernating
41422,free,1,Hibernating
41436,free,1,Hibernating
41447,free,1,Hibernating
41451,free,1,Hibernating
41471,free,1,Hibernating
41484,free,1,Hibernating
41489,free,1,Hibernating
41497,free,1,Hibernating
41499,free,1,Hibernating
41522,free,1,Hibernating
41527,free,1,Hibernating
41530,free,1,Hibernating
41557,free,1,Hibernating
41559,free,1,Hibernating
41563,free,1,Hibernating
41572,free,1,Hibernating
41573,free,1,Hibernating
41579,free,1,Hibernating
41584,free,1,Hibernating
41592,free,1,Hibernating
41593,free,1,Hibernating
41596,free,1,Hibernating
41624,free,1,Hibernating
41629,free,1,Hibernating
41632,free,1,Hibernating
41634,free,1,Hibernating
41643,free,1,Hibernating
41644,free,1,Hibernating
41646,free,1,Hibernating
41662,free,1,Hibernating
41679,free,1,Hibernating
41698,free,1,Hibernating
41708,free,1,Hibernating
41718,free,1,Hibernating
41722,free,1,Hibernating
41733,free,1,Hibernating
41739,free,1,Hibernating
41741,free,1,Hibernating
41754,free,1,Hibernating
41756,free,1,Hibernating
41766,free,1,Hibernating
41772,free,1,Hibernating
41793,free,1,Hibernating
41800,free,1,Hibernating
41812,free,1,Hibernating
41841,free,1,Hibernating
41849,free,1,Hibernating
41851,free,1,Hibernating
41852,free,1,Hibernating
41854,free,1,Hibernating
41870,free,1,Hibernating
41872,free,1,Hibernating
41874,free,1,Hibernating
41875,free,1,Hibernating
41887,free,1,Hibernating
41907,free,1,Hibernating
41911,free,1,Hibernating
