OrderID (PK),Transaction Date,UserID (FK),Bill Type,Total Amount
6706,2020-08-16,44822,VIP,199000
6998,2020-08-23,47128,VIP,199000
6927,2020-08-21,47134,VIP,199000
7054,2020-08-25,45972,VIP,199000
6929,2020-08-21,43556,VIP,199000
6953,2020-08-22,47287,VIP,199000
6153,2020-07-11,41655,VIP,276000
6184,2020-07-14,41014,VIP,199000
6274,2020-07-17,41485,VIP,159000
6206,2020-07-16,41538,VIP,499000
6236,2020-07-16,41599,VIP,745000
6321,2020-07-20,41905,VIP,159000
6326,2020-07-21,41539,VIP,159000
6338,2020-07-23,41728,VIP,159000
6363,2020-07-25,42314,VIP,599000
6394,2020-07-25,41966,VIP,599000
6409,2020-07-26,42006,VIP,499000
6417,2020-07-26,42462,VIP,199000
6425,2020-07-27,42434,VIP,499000
6650,2020-08-11,43999,VIP,199000
6445,2020-07-28,41984,VIP,276000
6581,2020-08-05,42470,VIP,345000
6544,2020-07-31,43095,VIP,159000
6628,2020-08-09,42943,VIP,199000
6646,2020-08-11,43948,VIP,199000
6587,2020-08-06,43438,VIP,159000
6614,2020-08-07,42663,VIP,599000
6700,2020-08-16,44868,VIP,345000
6597,2020-08-06,43440,VIP,499000
6601,2020-08-06,43447,VIP,159000
6609,2020-08-07,42999,VIP,499000
6623,2020-08-09,43444,VIP,599000
6635,2020-08-10,42333,VIP,199000
6638,2020-08-11,43924,VIP,199000
6642,2020-08-11,43093,VIP,199000
6654,2020-08-12,42460,VIP,199000
6702,2020-08-16,44881,VIP,199000
6662,2020-08-13,43438,VIP,159000
6664,2020-08-13,43708,VIP,159000
6668,2020-08-13,44229,VIP,345000
6669,2020-08-13,43440,VIP,9000
6672,2020-08-13,43447,VIP,6000
6695,2020-08-16,43444,VIP,599000
6696,2020-08-16,43753,VIP,499000
6698,2020-08-16,44289,VIP,199000
6704,2020-08-16,44884,VIP,199000
411,2020-08-24,43523,9K,9000
6708,2020-08-16,41452,VIP,199000
6716,2020-08-16,45012,VIP,345000
89,2020-07-22,42130,9K,9000
6714,2020-08-16,43498,VIP,499000
6719,2020-08-16,43278,VIP,199000
91,2020-07-23,41354,9K,9000
6722,2020-08-17,43882,VIP,159000
94,2020-08-30,44530,XU,149000
6725,2020-08-17,45214,VIP,199000
96,2020-08-30,50060,XU,149000
6729,2020-08-17,45246,VIP,199000
98,2020-08-30,50060,XU,149000
753,2020-09-10,53651,9K,9000
6753,2020-08-18,44218,VIP,199000
262,2020-08-20,46546,9K,9000
105,2020-08-31,46055,XU,45000
107,2020-08-31,50408,XU,149000
6756,2020-08-18,45476,VIP,199000
